"from","from_geneSymbol","to","to_geneSymbol","combined_score"
"9606.ENSP00000223642","C5","9606.ENSP00000225174","PPIF",900
"9606.ENSP00000229135","IFNG","9606.ENSP00000255030","CRP",747
"9606.ENSP00000231004","LOX","9606.ENSP00000255030","CRP",495
"9606.ENSP00000225174","PPIF","9606.ENSP00000259808","RIPK1",526
"9606.ENSP00000229135","IFNG","9606.ENSP00000260010","TLR2",785
"9606.ENSP00000255030","CRP","9606.ENSP00000260010","TLR2",570
"9606.ENSP00000259808","RIPK1","9606.ENSP00000260010","TLR2",490
"9606.ENSP00000262506","CSNK2A2","9606.ENSP00000262948","MAP2K2",407
"9606.ENSP00000229135","IFNG","9606.ENSP00000263341","IL1B",907
"9606.ENSP00000231004","LOX","9606.ENSP00000263341","IL1B",561
"9606.ENSP00000255030","CRP","9606.ENSP00000263341","IL1B",862
"9606.ENSP00000259808","RIPK1","9606.ENSP00000263341","IL1B",627
"9606.ENSP00000260010","TLR2","9606.ENSP00000263341","IL1B",912
"9606.ENSP00000255030","CRP","9606.ENSP00000264381","BCHE",606
"9606.ENSP00000263341","IL1B","9606.ENSP00000265113","SLC1A3",402
"9606.ENSP00000231004","LOX","9606.ENSP00000282903","PLOD2",687
"9606.ENSP00000225174","PPIF","9606.ENSP00000292303","CCR5",803
"9606.ENSP00000229135","IFNG","9606.ENSP00000292303","CCR5",716
"9606.ENSP00000260010","TLR2","9606.ENSP00000292303","CCR5",662
"9606.ENSP00000263341","IL1B","9606.ENSP00000292303","CCR5",707
"9606.ENSP00000258416","EIF4E2","9606.ENSP00000293831","EIF4A1",943
"9606.ENSP00000269349","EIF4A3","9606.ENSP00000293831","EIF4A1",945
"9606.ENSP00000276689","NDUFB9","9606.ENSP00000296597","NDUFAF2",449
"9606.ENSP00000229135","IFNG","9606.ENSP00000296795","TLR3",832
"9606.ENSP00000259808","RIPK1","9606.ENSP00000296795","TLR3",960
"9606.ENSP00000260010","TLR2","9606.ENSP00000296795","TLR3",449
"9606.ENSP00000263341","IL1B","9606.ENSP00000296795","TLR3",821
"9606.ENSP00000292303","CCR5","9606.ENSP00000296795","TLR3",515
"9606.ENSP00000229135","IFNG","9606.ENSP00000296871","CSF2",862
"9606.ENSP00000255030","CRP","9606.ENSP00000296871","CSF2",597
"9606.ENSP00000260010","TLR2","9606.ENSP00000296871","CSF2",716
"9606.ENSP00000263341","IL1B","9606.ENSP00000296871","CSF2",988
"9606.ENSP00000292303","CCR5","9606.ENSP00000296871","CSF2",605
"9606.ENSP00000296795","TLR3","9606.ENSP00000296871","CSF2",670
"9606.ENSP00000260010","TLR2","9606.ENSP00000302486","MAP2K1",463
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000302486","MAP2K1",970
"9606.ENSP00000263341","IL1B","9606.ENSP00000302486","MAP2K1",551
"9606.ENSP00000263377","BRD4","9606.ENSP00000302486","MAP2K1",474
"9606.ENSP00000229135","IFNG","9606.ENSP00000306512","CXCL8",862
"9606.ENSP00000231004","LOX","9606.ENSP00000306512","CXCL8",470
"9606.ENSP00000255030","CRP","9606.ENSP00000306512","CXCL8",857
"9606.ENSP00000260010","TLR2","9606.ENSP00000306512","CXCL8",861
"9606.ENSP00000263341","IL1B","9606.ENSP00000306512","CXCL8",998
"9606.ENSP00000292303","CCR5","9606.ENSP00000306512","CXCL8",918
"9606.ENSP00000296795","TLR3","9606.ENSP00000306512","CXCL8",784
"9606.ENSP00000296871","CSF2","9606.ENSP00000306512","CXCL8",988
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000306512","CXCL8",479
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000309591","PRKACA",859
"9606.ENSP00000276689","NDUFB9","9606.ENSP00000309591","PRKACA",608
"9606.ENSP00000296871","CSF2","9606.ENSP00000309591","PRKACA",900
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000309591","PRKACA",865
"9606.ENSP00000238616","NEK9","9606.ENSP00000314499","GAK",449
