"from","from_geneSymbol","to","to_geneSymbol","combined_score"
"9606.ENSP00000273398","ATP6V1A","9606.ENSP00000314499","GAK",468
"9606.ENSP00000255030","CRP","9606.ENSP00000314897","ANGPT2",471
"9606.ENSP00000263341","IL1B","9606.ENSP00000314897","ANGPT2",479
"9606.ENSP00000306512","CXCL8","9606.ENSP00000314897","ANGPT2",681
"9606.ENSP00000282903","PLOD2","9606.ENSP00000317232","BRKS1",892
"9606.ENSP00000219240","DHODH","9606.ENSP00000321584","IMPDH2",607
"9606.ENSP00000238256","FKBP15","9606.ENSP00000321584","IMPDH2",526
"9606.ENSP00000258416","EIF4E2","9606.ENSP00000326381","EIF4A2",840
"9606.ENSP00000269349","EIF4A3","9606.ENSP00000326381","EIF4A2",940
"9606.ENSP00000293831","EIF4A1","9606.ENSP00000326381","EIF4A2",986
"9606.ENSP00000259808","RIPK1","9606.ENSP00000329967","TBK1",935
"9606.ENSP00000260010","TLR2","9606.ENSP00000329967","TBK1",674
"9606.ENSP00000263341","IL1B","9606.ENSP00000329967","TBK1",584
"9606.ENSP00000277010","SIGMAR1","9606.ENSP00000329967","TBK1",407
"9606.ENSP00000296795","TLR3","9606.ENSP00000329967","TBK1",982
"9606.ENSP00000306512","CXCL8","9606.ENSP00000329967","TBK1",530
"9606.ENSP00000258416","EIF4E2","9606.ENSP00000336721","LARP1",470
"9606.ENSP00000293831","EIF4A1","9606.ENSP00000336721","LARP1",502
"9606.ENSP00000326381","EIF4A2","9606.ENSP00000336721","LARP1",429
"9606.ENSP00000229135","IFNG","9606.ENSP00000343204","JAK1",979
"9606.ENSP00000260010","TLR2","9606.ENSP00000343204","JAK1",421
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000343204","JAK1",923
"9606.ENSP00000263341","IL1B","9606.ENSP00000343204","JAK1",576
"9606.ENSP00000292303","CCR5","9606.ENSP00000343204","JAK1",533
"9606.ENSP00000296795","TLR3","9606.ENSP00000343204","JAK1",492
"9606.ENSP00000296871","CSF2","9606.ENSP00000343204","JAK1",751
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000343204","JAK1",931
"9606.ENSP00000306512","CXCL8","9606.ENSP00000343204","JAK1",470
"9606.ENSP00000219240","DHODH","9606.ENSP00000345096","IMPDH1",648
"9606.ENSP00000238256","FKBP15","9606.ENSP00000345096","IMPDH1",538
"9606.ENSP00000321584","IMPDH2","9606.ENSP00000345096","IMPDH1",974
"9606.ENSP00000263341","IL1B","9606.ENSP00000345341","PTGES2",418
"9606.ENSP00000263341","IL1B","9606.ENSP00000345344","CTSL",404
"9606.ENSP00000306512","CXCL8","9606.ENSP00000345344","CTSL",468
"9606.ENSP00000309591","PRKACA","9606.ENSP00000347046","PDE5A",880
"9606.ENSP00000223642","C5","9606.ENSP00000347197","C5AR1",998
"9606.ENSP00000260010","TLR2","9606.ENSP00000347197","C5AR1",987
"9606.ENSP00000263341","IL1B","9606.ENSP00000347197","C5AR1",611
"9606.ENSP00000292303","CCR5","9606.ENSP00000347197","C5AR1",445
"9606.ENSP00000296871","CSF2","9606.ENSP00000347197","C5AR1",403
"9606.ENSP00000306512","CXCL8","9606.ENSP00000347197","C5AR1",571
"9606.ENSP00000238256","FKBP15","9606.ENSP00000351777","VCP",446
"9606.ENSP00000273398","ATP6V1A","9606.ENSP00000351777","VCP",464
"9606.ENSP00000277010","SIGMAR1","9606.ENSP00000351777","VCP",583
"9606.ENSP00000329967","TBK1","9606.ENSP00000351777","VCP",783
"9606.ENSP00000258416","EIF4E2","9606.ENSP00000352121","PIK3CG",401
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000352121","PIK3CG",947
"9606.ENSP00000229135","IFNG","9606.ENSP00000353731","DPP4",403
"9606.ENSP00000255030","CRP","9606.ENSP00000353731","DPP4",573
"9606.ENSP00000263341","IL1B","9606.ENSP00000353731","DPP4",476
"9606.ENSP00000292303","CCR5","9606.ENSP00000353731","DPP4",430
"9606.ENSP00000345344","CTSL","9606.ENSP00000353731","DPP4",464
"9606.ENSP00000229135","IFNG","9606.ENSP00000353874","TLR9",704
"9606.ENSP00000255030","CRP","9606.ENSP00000353874","TLR9",401
"9606.ENSP00000259808","RIPK1","9606.ENSP00000353874","TLR9",452
"9606.ENSP00000260010","TLR2","9606.ENSP00000353874","TLR9",884
"9606.ENSP00000263341","IL1B","9606.ENSP00000353874","TLR9",916
"9606.ENSP00000292303","CCR5","9606.ENSP00000353874","TLR9",545
"9606.ENSP00000296795","TLR3","9606.ENSP00000353874","TLR9",429
"9606.ENSP00000296871","CSF2","9606.ENSP00000353874","TLR9",704
"9606.ENSP00000306512","CXCL8","9606.ENSP00000353874","TLR9",698
"9606.ENSP00000329967","TBK1","9606.ENSP00000353874","TLR9",785
"9606.ENSP00000343204","JAK1","9606.ENSP00000353874","TLR9",435
"9606.ENSP00000264381","BCHE","9606.ENSP00000354511","COMT",460
"9606.ENSP00000229135","IFNG","9606.ENSP00000354558","MTOR",470
"9606.ENSP00000238256","FKBP15","9606.ENSP00000354558","MTOR",419
"9606.ENSP00000260010","TLR2","9606.ENSP00000354558","MTOR",432
"9606.ENSP00000262506","CSNK2A2","9606.ENSP00000354558","MTOR",422
"9606.ENSP00000263341","IL1B","9606.ENSP00000354558","MTOR",602
"9606.ENSP00000263377","BRD4","9606.ENSP00000354558","MTOR",407
"9606.ENSP00000273398","ATP6V1A","9606.ENSP00000354558","MTOR",690
"9606.ENSP00000293831","EIF4A1","9606.ENSP00000354558","MTOR",634
"9606.ENSP00000294309","TPCN2","9606.ENSP00000354558","MTOR",477
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000354558","MTOR",683
"9606.ENSP00000306512","CXCL8","9606.ENSP00000354558","MTOR",505
"9606.ENSP00000317232","BRKS1","9606.ENSP00000354558","MTOR",472
"9606.ENSP00000321584","IMPDH2","9606.ENSP00000354558","MTOR",649
"9606.ENSP00000326381","EIF4A2","9606.ENSP00000354558","MTOR",603
"9606.ENSP00000329967","TBK1","9606.ENSP00000354558","MTOR",566
"9606.ENSP00000336721","LARP1","9606.ENSP00000354558","MTOR",724
"9606.ENSP00000343204","JAK1","9606.ENSP00000354558","MTOR",460
"9606.ENSP00000345096","IMPDH1","9606.ENSP00000354558","MTOR",586
"9606.ENSP00000352121","PIK3CG","9606.ENSP00000354558","MTOR",792
"9606.ENSP00000229135","IFNG","9606.ENSP00000357470","IL6R",775
"9606.ENSP00000255030","CRP","9606.ENSP00000357470","IL6R",554
"9606.ENSP00000260010","TLR2","9606.ENSP00000357470","IL6R",440
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000357470","IL6R",901
"9606.ENSP00000263341","IL1B","9606.ENSP00000357470","IL6R",648
"9606.ENSP00000296871","CSF2","9606.ENSP00000357470","IL6R",778
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000357470","IL6R",912
"9606.ENSP00000306512","CXCL8","9606.ENSP00000357470","IL6R",667
"9606.ENSP00000343204","JAK1","9606.ENSP00000357470","IL6R",967
"9606.ENSP00000273398","ATP6V1A","9606.ENSP00000358777","ATP6AP1",992
"9606.ENSP00000296871","CSF2","9606.ENSP00000366563","PIK3CD",591
"9606.ENSP00000343204","JAK1","9606.ENSP00000366563","PIK3CD",698
"9606.ENSP00000352121","PIK3CG","9606.ENSP00000366563","PIK3CD",884
"9606.ENSP00000354558","MTOR","9606.ENSP00000366563","PIK3CD",906
"9606.ENSP00000229135","IFNG","9606.ENSP00000370698","IL6ST",700
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000370698","IL6ST",902
"9606.ENSP00000296871","CSF2","9606.ENSP00000370698","IL6ST",691
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000370698","IL6ST",906
"9606.ENSP00000343204","JAK1","9606.ENSP00000370698","IL6ST",998
"9606.ENSP00000357470","IL6R","9606.ENSP00000370698","IL6ST",994
"9606.ENSP00000366563","PIK3CD","9606.ENSP00000370698","IL6ST",612
"9606.ENSP00000229135","IFNG","9606.ENSP00000371067","JAK2",967
"9606.ENSP00000255030","CRP","9606.ENSP00000371067","JAK2",451
"9606.ENSP00000260010","TLR2","9606.ENSP00000371067","JAK2",453
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000371067","JAK2",613
"9606.ENSP00000263341","IL1B","9606.ENSP00000371067","JAK2",963
"9606.ENSP00000263377","BRD4","9606.ENSP00000371067","JAK2",493
"9606.ENSP00000292303","CCR5","9606.ENSP00000371067","JAK2",844
"9606.ENSP00000296871","CSF2","9606.ENSP00000371067","JAK2",961
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000371067","JAK2",665
"9606.ENSP00000306512","CXCL8","9606.ENSP00000371067","JAK2",563
"9606.ENSP00000309591","PRKACA","9606.ENSP00000371067","JAK2",909
"9606.ENSP00000343204","JAK1","9606.ENSP00000371067","JAK2",933
"9606.ENSP00000352121","PIK3CG","9606.ENSP00000371067","JAK2",990
"9606.ENSP00000354558","MTOR","9606.ENSP00000371067","JAK2",596
"9606.ENSP00000357470","IL6R","9606.ENSP00000371067","JAK2",958
"9606.ENSP00000366563","PIK3CD","9606.ENSP00000371067","JAK2",857
"9606.ENSP00000370698","IL6ST","9606.ENSP00000371067","JAK2",989
"9606.ENSP00000262506","CSNK2A2","9606.ENSP00000378704","BRD2",614
"9606.ENSP00000263377","BRD4","9606.ENSP00000378704","BRD2",528
"9606.ENSP00000345344","CTSL","9606.ENSP00000381588","TMPRSS2",575
"9606.ENSP00000353731","DPP4","9606.ENSP00000381588","TMPRSS2",685
"9606.ENSP00000262506","CSNK2A2","9606.ENSP00000382342","ABCC1",516
"9606.ENSP00000353731","DPP4","9606.ENSP00000382342","ABCC1",445
"9606.ENSP00000229135","IFNG","9606.ENSP00000385675","IL6",943
"9606.ENSP00000231004","LOX","9606.ENSP00000385675","IL6",620
"9606.ENSP00000255030","CRP","9606.ENSP00000385675","IL6",916
"9606.ENSP00000259808","RIPK1","9606.ENSP00000385675","IL6",469
"9606.ENSP00000260010","TLR2","9606.ENSP00000385675","IL6",885
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000385675","IL6",913
"9606.ENSP00000263341","IL1B","9606.ENSP00000385675","IL6",997
"9606.ENSP00000264381","BCHE","9606.ENSP00000385675","IL6",460
"9606.ENSP00000292303","CCR5","9606.ENSP00000385675","IL6",692
"9606.ENSP00000296795","TLR3","9606.ENSP00000385675","IL6",833
"9606.ENSP00000296871","CSF2","9606.ENSP00000385675","IL6",991
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000385675","IL6",955
"9606.ENSP00000306512","CXCL8","9606.ENSP00000385675","IL6",997
"9606.ENSP00000314897","ANGPT2","9606.ENSP00000385675","IL6",564
"9606.ENSP00000329967","TBK1","9606.ENSP00000385675","IL6",582
"9606.ENSP00000343204","JAK1","9606.ENSP00000385675","IL6",978
"9606.ENSP00000345344","CTSL","9606.ENSP00000385675","IL6",420
"9606.ENSP00000347197","C5AR1","9606.ENSP00000385675","IL6",628
"9606.ENSP00000352516","DNMT1","9606.ENSP00000385675","IL6",504
"9606.ENSP00000353731","DPP4","9606.ENSP00000385675","IL6",566
"9606.ENSP00000353874","TLR9","9606.ENSP00000385675","IL6",920
"9606.ENSP00000354558","MTOR","9606.ENSP00000385675","IL6",687
"9606.ENSP00000357470","IL6R","9606.ENSP00000385675","IL6",999
"9606.ENSP00000370698","IL6ST","9606.ENSP00000385675","IL6",999
"9606.ENSP00000371067","JAK2","9606.ENSP00000385675","IL6",989
"9606.ENSP00000354558","MTOR","9606.ENSP00000385751","MARK2",524
"9606.ENSP00000229135","IFNG","9606.ENSP00000386380","IL1R1",515
"9606.ENSP00000255030","CRP","9606.ENSP00000386380","IL1R1",414
"9606.ENSP00000259808","RIPK1","9606.ENSP00000386380","IL1R1",552
"9606.ENSP00000260010","TLR2","9606.ENSP00000386380","IL1R1",740
"9606.ENSP00000263341","IL1B","9606.ENSP00000386380","IL1R1",999
"9606.ENSP00000292303","CCR5","9606.ENSP00000386380","IL1R1",412
"9606.ENSP00000296795","TLR3","9606.ENSP00000386380","IL1R1",715
"9606.ENSP00000296871","CSF2","9606.ENSP00000386380","IL1R1",612
"9606.ENSP00000306512","CXCL8","9606.ENSP00000386380","IL1R1",750
"9606.ENSP00000329967","TBK1","9606.ENSP00000386380","IL1R1",414
"9606.ENSP00000353874","TLR9","9606.ENSP00000386380","IL1R1",661
"9606.ENSP00000357470","IL6R","9606.ENSP00000386380","IL1R1",626
"9606.ENSP00000370698","IL6ST","9606.ENSP00000386380","IL1R1",450
"9606.ENSP00000385675","IL6","9606.ENSP00000386380","IL1R1",769
"9606.ENSP00000314499","GAK","9606.ENSP00000386456","AAK1",625
"9606.ENSP00000255030","CRP","9606.ENSP00000389326","ACE2",480
"9606.ENSP00000263341","IL1B","9606.ENSP00000389326","ACE2",432
"9606.ENSP00000265113","SLC1A3","9606.ENSP00000389326","ACE2",429
"9606.ENSP00000345344","CTSL","9606.ENSP00000389326","ACE2",587
"9606.ENSP00000353731","DPP4","9606.ENSP00000389326","ACE2",980
"9606.ENSP00000381588","TMPRSS2","9606.ENSP00000389326","ACE2",904
"9606.ENSP00000385675","IL6","9606.ENSP00000389326","ACE2",516
"9606.ENSP00000229135","IFNG","9606.ENSP00000389600","TLR6",623
"9606.ENSP00000255030","CRP","9606.ENSP00000389600","TLR6",434
"9606.ENSP00000260010","TLR2","9606.ENSP00000389600","TLR6",975
"9606.ENSP00000263341","IL1B","9606.ENSP00000389600","TLR6",686
"9606.ENSP00000292303","CCR5","9606.ENSP00000389600","TLR6",405
"9606.ENSP00000296795","TLR3","9606.ENSP00000389600","TLR6",426
"9606.ENSP00000296871","CSF2","9606.ENSP00000389600","TLR6",577
"9606.ENSP00000306512","CXCL8","9606.ENSP00000389600","TLR6",647
"9606.ENSP00000329967","TBK1","9606.ENSP00000389600","TLR6",453
"9606.ENSP00000353874","TLR9","9606.ENSP00000389600","TLR6",430
"9606.ENSP00000385675","IL6","9606.ENSP00000389600","TLR6",702
"9606.ENSP00000386380","IL1R1","9606.ENSP00000389600","TLR6",518
"9606.ENSP00000223642","C5","9606.ENSP00000398698","TNF",402
"9606.ENSP00000229135","IFNG","9606.ENSP00000398698","TNF",938
"9606.ENSP00000231004","LOX","9606.ENSP00000398698","TNF",592
"9606.ENSP00000255030","CRP","9606.ENSP00000398698","TNF",911
"9606.ENSP00000259808","RIPK1","9606.ENSP00000398698","TNF",998
"9606.ENSP00000260010","TLR2","9606.ENSP00000398698","TNF",921
"9606.ENSP00000262506","CSNK2A2","9606.ENSP00000398698","TNF",447
"9606.ENSP00000263341","IL1B","9606.ENSP00000398698","TNF",983
"9606.ENSP00000263377","BRD4","9606.ENSP00000398698","TNF",502
"9606.ENSP00000264381","BCHE","9606.ENSP00000398698","TNF",427
"9606.ENSP00000292303","CCR5","9606.ENSP00000398698","TNF",807
"9606.ENSP00000296795","TLR3","9606.ENSP00000398698","TNF",845
"9606.ENSP00000296871","CSF2","9606.ENSP00000398698","TNF",990
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000398698","TNF",582
"9606.ENSP00000306512","CXCL8","9606.ENSP00000398698","TNF",992
"9606.ENSP00000314897","ANGPT2","9606.ENSP00000398698","TNF",645
"9606.ENSP00000329967","TBK1","9606.ENSP00000398698","TNF",907
"9606.ENSP00000343204","JAK1","9606.ENSP00000398698","TNF",703
"9606.ENSP00000345344","CTSL","9606.ENSP00000398698","TNF",426
"9606.ENSP00000347197","C5AR1","9606.ENSP00000398698","TNF",596
"9606.ENSP00000352121","PIK3CG","9606.ENSP00000398698","TNF",474
"9606.ENSP00000352516","DNMT1","9606.ENSP00000398698","TNF",449
"9606.ENSP00000353731","DPP4","9606.ENSP00000398698","TNF",532
"9606.ENSP00000353874","TLR9","9606.ENSP00000398698","TNF",859
"9606.ENSP00000354558","MTOR","9606.ENSP00000398698","TNF",636
"9606.ENSP00000357470","IL6R","9606.ENSP00000398698","TNF",745
"9606.ENSP00000371067","JAK2","9606.ENSP00000398698","TNF",680
"9606.ENSP00000382342","ABCC1","9606.ENSP00000398698","TNF",447
"9606.ENSP00000385675","IL6","9606.ENSP00000398698","TNF",994
"9606.ENSP00000386380","IL1R1","9606.ENSP00000398698","TNF",872
"9606.ENSP00000389326","ACE2","9606.ENSP00000398698","TNF",471
"9606.ENSP00000389600","TLR6","9606.ENSP00000398698","TNF",768
"9606.ENSP00000262948","MAP2K2","9606.ENSP00000411397","MARK3",611
"9606.ENSP00000302486","MAP2K1","9606.ENSP00000411397","MARK3",622
"9606.ENSP00000371067","JAK2","9606.ENSP00000411397","MARK3",904
"9606.ENSP00000385751","MARK2","9606.ENSP00000411397","MARK3",538
"9606.ENSP00000229135","IFNG","9606.ENSP00000412237","IL10",951
"9606.ENSP00000231004","LOX","9606.ENSP00000412237","IL10",470
"9606.ENSP00000255030","CRP","9606.ENSP00000412237","IL10",838
"9606.ENSP00000260010","TLR2","9606.ENSP00000412237","IL10",893
"9606.ENSP00000263341","IL1B","9606.ENSP00000412237","IL10",995
"9606.ENSP00000292303","CCR5","9606.ENSP00000412237","IL10",971
"9606.ENSP00000296795","TLR3","9606.ENSP00000412237","IL10",789
"9606.ENSP00000296871","CSF2","9606.ENSP00000412237","IL10",988
"9606.ENSP00000306512","CXCL8","9606.ENSP00000412237","IL10",994
"9606.ENSP00000314897","ANGPT2","9606.ENSP00000412237","IL10",456
"9606.ENSP00000329967","TBK1","9606.ENSP00000412237","IL10",437
"9606.ENSP00000343204","JAK1","9606.ENSP00000412237","IL10",983
"9606.ENSP00000347197","C5AR1","9606.ENSP00000412237","IL10",495
"9606.ENSP00000353731","DPP4","9606.ENSP00000412237","IL10",418
"9606.ENSP00000353874","TLR9","9606.ENSP00000412237","IL10",827
"9606.ENSP00000354558","MTOR","9606.ENSP00000412237","IL10",550
"9606.ENSP00000357470","IL6R","9606.ENSP00000412237","IL10",843
"9606.ENSP00000370698","IL6ST","9606.ENSP00000412237","IL10",745
"9606.ENSP00000371067","JAK2","9606.ENSP00000412237","IL10",706
"9606.ENSP00000385675","IL6","9606.ENSP00000412237","IL10",972
"9606.ENSP00000386380","IL1R1","9606.ENSP00000412237","IL10",967
"9606.ENSP00000389600","TLR6","9606.ENSP00000412237","IL10",722
"9606.ENSP00000398698","TNF","9606.ENSP00000412237","IL10",996
"9606.ENSP00000225174","PPIF","9606.ENSP00000413152","FKBP7",662
"9606.ENSP00000238256","FKBP15","9606.ENSP00000413152","FKBP7",439
"9606.ENSP00000255030","CRP","9606.ENSP00000419422","AGTR1",467
"9606.ENSP00000260010","TLR2","9606.ENSP00000419422","AGTR1",439
"9606.ENSP00000263341","IL1B","9606.ENSP00000419422","AGTR1",594
"9606.ENSP00000306512","CXCL8","9606.ENSP00000419422","AGTR1",710
"9606.ENSP00000371067","JAK2","9606.ENSP00000419422","AGTR1",973
"9606.ENSP00000385675","IL6","9606.ENSP00000419422","AGTR1",566
"9606.ENSP00000386456","AAK1","9606.ENSP00000419422","AGTR1",600
"9606.ENSP00000389326","ACE2","9606.ENSP00000419422","AGTR1",868
"9606.ENSP00000398698","TNF","9606.ENSP00000419422","AGTR1",519
"9606.ENSP00000263341","IL1B","9606.ENSP00000419425","PPIA",438
"9606.ENSP00000269349","EIF4A3","9606.ENSP00000419425","PPIA",411
"9606.ENSP00000293831","EIF4A1","9606.ENSP00000419425","PPIA",496
"9606.ENSP00000326381","EIF4A2","9606.ENSP00000419425","PPIA",415
"9606.ENSP00000333769","BSG","9606.ENSP00000419425","PPIA",999
"9606.ENSP00000379386","LDHB","9606.ENSP00000419425","PPIA",460
"9606.ENSP00000385675","IL6","9606.ENSP00000419425","PPIA",472
"9606.ENSP00000398698","TNF","9606.ENSP00000419425","PPIA",490
"9606.ENSP00000413152","FKBP7","9606.ENSP00000419425","PPIA",681
"9606.ENSP00000225174","PPIF","9606.ENSP00000430432","HDAC2",490
"9606.ENSP00000262506","CSNK2A2","9606.ENSP00000430432","HDAC2",529
"9606.ENSP00000263377","BRD4","9606.ENSP00000430432","HDAC2",549
"9606.ENSP00000306512","CXCL8","9606.ENSP00000430432","HDAC2",405
"9606.ENSP00000352516","DNMT1","9606.ENSP00000430432","HDAC2",999
"9606.ENSP00000378704","BRD2","9606.ENSP00000430432","HDAC2",460
"9606.ENSP00000385675","IL6","9606.ENSP00000430432","HDAC2",417
"9606.ENSP00000398698","TNF","9606.ENSP00000430432","HDAC2",456
"9606.ENSP00000379386","LDHB","9606.ENSP00000437783","LDHC",896
"9606.ENSP00000351777","VCP","9606.ENSP00000444856","CUL2",763
"9606.ENSP00000354558","MTOR","9606.ENSP00000445175","LDHA",514
"9606.ENSP00000379386","LDHB","9606.ENSP00000445175","LDHA",980
"9606.ENSP00000419425","PPIA","9606.ENSP00000445175","LDHA",548
"9606.ENSP00000437783","LDHC","9606.ENSP00000445175","LDHA",895
"9606.ENSP00000273398","ATP6V1A","9606.ENSP00000445306","ATP1A1",473
"9606.ENSP00000309591","PRKACA","9606.ENSP00000445306","ATP1A1",667
"9606.ENSP00000229135","IFNG","9606.ENSP00000455897","MRC1",612
"9606.ENSP00000260010","TLR2","9606.ENSP00000455897","MRC1",753
"9606.ENSP00000263341","IL1B","9606.ENSP00000455897","MRC1",789
"9606.ENSP00000292303","CCR5","9606.ENSP00000455897","MRC1",604
"9606.ENSP00000296795","TLR3","9606.ENSP00000455897","MRC1",445
"9606.ENSP00000296871","CSF2","9606.ENSP00000455897","MRC1",645
"9606.ENSP00000306512","CXCL8","9606.ENSP00000455897","MRC1",565
"9606.ENSP00000347197","C5AR1","9606.ENSP00000455897","MRC1",466
"9606.ENSP00000353874","TLR9","9606.ENSP00000455897","MRC1",478
"9606.ENSP00000385675","IL6","9606.ENSP00000455897","MRC1",743
"9606.ENSP00000386380","IL1R1","9606.ENSP00000455897","MRC1",400
"9606.ENSP00000398698","TNF","9606.ENSP00000455897","MRC1",796
"9606.ENSP00000412237","IL10","9606.ENSP00000455897","MRC1",847
"9606.ENSP00000294309","TPCN2","9606.ENSP00000483552","FURIN",455
"9606.ENSP00000345344","CTSL","9606.ENSP00000483552","FURIN",598
"9606.ENSP00000353731","DPP4","9606.ENSP00000483552","FURIN",569
"9606.ENSP00000358777","ATP6AP1","9606.ENSP00000483552","FURIN",432
"9606.ENSP00000381588","TMPRSS2","9606.ENSP00000483552","FURIN",663
"9606.ENSP00000389326","ACE2","9606.ENSP00000483552","FURIN",525
"9606.ENSP00000398698","TNF","9606.ENSP00000483552","FURIN",472
"9606.ENSP00000260010","TLR2","9606.ENSP00000483570","BTK",576
"9606.ENSP00000263341","IL1B","9606.ENSP00000483570","BTK",447
"9606.ENSP00000296795","TLR3","9606.ENSP00000483570","BTK",513
"9606.ENSP00000343204","JAK1","9606.ENSP00000483570","BTK",406
"9606.ENSP00000352121","PIK3CG","9606.ENSP00000483570","BTK",695
"9606.ENSP00000353874","TLR9","9606.ENSP00000483570","BTK",756
"9606.ENSP00000354558","MTOR","9606.ENSP00000483570","BTK",548
"9606.ENSP00000366563","PIK3CD","9606.ENSP00000483570","BTK",964
"9606.ENSP00000371067","JAK2","9606.ENSP00000483570","BTK",923
"9606.ENSP00000385675","IL6","9606.ENSP00000483570","BTK",502
"9606.ENSP00000389600","TLR6","9606.ENSP00000483570","BTK",456
"9606.ENSP00000398698","TNF","9606.ENSP00000483570","BTK",558
"9606.ENSP00000412237","IL10","9606.ENSP00000483570","BTK",494
"9606.ENSP00000455897","MRC1","9606.ENSP00000483570","BTK",495
